time,open,high,low,close,LongExit WMA,200 Day Weighted Moving Average,Hull,LongExit WMA,200 Day Weighted Moving Average,Hull,Omega Candles (Open),Omega Candles (High,Omega Candles (Low),Omega Candles (Close),AlphaTrend,AlphaTrend Candles (Open),AlphaTrend Candles (High,AlphaTrend Candles (Low),AlphaTrend Candles (Close),AlphaTrend Candles (Open),AlphaTrend Candles (High,AlphaTrend Candles (Low),AlphaTrend Candles (Close),Signal 1. Long,Signal 2. Long,Signal 3. Long,Signal 4. Short,Signal 5. Short,Signal 6. Long,Signal 7. Short,Signal 8. Long,Upper Band 1,Upper Band 2,Upper Band 3,Upper Band 4,Upper Band 5,Upper Band 6,Upper Band 7,Lower Band 1,Lower Band 2,Lower Band 3,Lower Band 4,Lower Band 5,Lower Band 6,Lower Band 7,WMA (blue line),Colored Dots,Volatility-Adj.WMA,Hull,MA 1,MA 2,Plot,Plot,MA 3,Plot,Plot,MA 4,Plot,Plot,MA 5,Plot,Plot,LinReg of Src,Trend,Trend MA1,Signal 1,Signal 2,Trigger,EMA Avg,Plot,Plot,Trend,MA 1,LR of MA1,MA 2,LR of MA2,MA 3,LR of MA3,mA 4,LR of MA4,Red MMC 2,Red MMC 3,Green MMC 2,Green MMC 3
1705696200,34.75,34.99,34.72,34.89,29.16138903863431,23.069276616915424,NaN,29.25987786259542,23.069276616915424,NaN,34.75,34.99,34.72,34.89,NaN,NaN,34.99,34.72,34.89,NaN,34.99,34.72,34.89,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.30734117419155,NaN,NaN,NaN,32.1749055686382,31.409071039548937,29.700399698340878,30.083316962885508,29.317482433796247,NaN,29.510228436436066,28.744393907346804,NaN,29.544306303178942,28.77847177408968,NaN,90.4917496808489,84.34185977179934,77.92250583123098,NaN,87.41680472632412,NaN,NaN,NaN,NaN,1.065986975460999,NaN,1.0159495299114962,0.9289451420119892,NaN,NaN,0.4789196339879715,NaN,1.057111795003749,NaN,NaN,NaN
1705933800,35.67,36.57,34.22,34.45,29.256619946091643,23.069276616915424,NaN,29.33826541397533,23.069276616915424,NaN,35.67,36.57,34.22,34.45,NaN,NaN,36.57,34.22,34.45,NaN,36.57,34.22,34.45,0,0,0,0,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.75621446663228,NaN,NaN,NaN,32.59365051879978,31.809624335001406,29.91842006033183,30.310433152231013,29.526406968432646,NaN,29.624274821333227,28.84024863753486,NaN,29.648633037990827,28.86460685419246,NaN,78.92868110348567,83.9748639305584,80.42599475811596,NaN,81.45177251702204,NaN,NaN,NaN,NaN,0.9615510782936241,NaN,1.000569821018872,0.9853287987457064,NaN,NaN,0.5258207378221472,NaN,NaN,NaN,NaN,NaN
1705939200,34.46,35.57,34.38,35.18,29.36491823899371,23.069276616915424,NaN,29.426873752202006,23.069276616915424,NaN,34.46,35.57,34.38,35.18,NaN,NaN,35.57,34.38,35.18,NaN,35.57,34.38,35.18,0,0,0,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.28218056534614,NaN,NaN,NaN,33.049374803085456,32.260098881125074,30.157782805429864,30.55242076641006,29.76314484444967,NaN,29.745447975707734,28.956172053747345,NaN,29.759556199973904,28.970280278013515,NaN,83.20206133534431,84.36856552374003,82.25675087602879,NaN,83.78531342954217,NaN,NaN,NaN,NaN,0.8870818612514478,NaN,0.9598848770971029,0.9988543528968321,NaN,NaN,0.5668548158071031,NaN,0.873737431907891,NaN,NaN,NaN
1705944600,35.19,35.235,34.83,35.07,29.4703144654088,23.069276616915424,NaN,29.51275748678803,23.069276616915424,NaN,35.19,35.235,34.83,35.07,NaN,NaN,35.235,34.83,35.07,NaN,35.235,34.83,35.07,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.659811216804485,NaN,NaN,NaN,33.45268516324173,32.666847000500944,30.386331070889906,30.779250152260296,29.993411989519515,NaN,29.8585386900386,29.07270052729782,NaN,29.863233546779192,29.07739538403841,NaN,80.25883448645837,84.06127071205597,83.36483895561534,NaN,82.16005259925717,NaN,NaN,NaN,NaN,0.8108928214121889,NaN,0.8887716929767957,0.9679284852351032,NaN,NaN,0.5978806183965545,NaN,NaN,NaN,NaN,NaN
1705950000,35.08,35.52,34.84,35.52,29.583418688230015,23.069276616915424,NaN,29.604514386376984,23.069276616915424,NaN,35.08,35.52,34.84,35.52,NaN,NaN,35.52,34.84,35.52,NaN,35.52,34.84,35.52,0,0,0,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05863706005238,NaN,NaN,NaN,33.87068310693096,33.08522332581759,30.62528657616893,31.018016466725616,30.23255668561224,NaN,29.981217161753822,29.195757380640448,NaN,29.976148578786702,29.190688797673328,NaN,83.17977393228074,84.07276580571177,83.9432839746167,NaN,83.62626986899625,NaN,NaN,NaN,NaN,0.7513102565148841,NaN,0.8206598819141788,0.9079092980696821,NaN,NaN,0.6232479795767993,NaN,0.7372301266901573,NaN,NaN,NaN
1705955400,35.52,35.54,35.235,35.255,29.690662174303686,23.20476268656718,NaN,29.69118849089842,23.20476268656718,NaN,35.52,35.54,35.235,35.255,NaN,NaN,35.54,35.235,35.255,NaN,35.54,35.235,35.255,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.29847899059538,NaN,NaN,NaN,34.21088944837627,33.42992926507403,30.846832579185516,31.237312670836637,30.456352487534396,NaN,30.095187644775464,29.314227461473223,NaN,30.081142265954806,29.300182082652565,NaN,75.30581930256872,82.49182247268142,83.78892846301125,NaN,78.89882088762508,NaN,NaN,NaN,NaN,0.6658899825797727,NaN,0.7399784794420593,0.8298257466307796,NaN,NaN,0.6381073735678098,NaN,NaN,NaN,NaN,NaN
1706020200,35.18,35.4,34.22,35.04,29.79304312668463,23.20476268656718,NaN,29.77357428068114,23.20476268656718,NaN,35.18,35.4,34.22,35.04,NaN,NaN,35.4,34.22,35.04,NaN,35.4,34.22,35.04,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.46515005191142,NaN,NaN,NaN,34.48794833167028,33.70181775020106,31.052858220211164,31.44592351094577,30.659792929476556,NaN,30.208451362689164,29.42232078121995,NaN,30.186108417419238,29.399977835950022,NaN,68.95118264230574,79.7433941782788,82.80823445960941,NaN,74.34728841029226,NaN,NaN,NaN,NaN,0.5450509487535058,NaN,0.6451720550496802,0.7406594694213122,NaN,NaN,0.6412170203302897,NaN,NaN,NaN,NaN,NaN
1706025600,35.05,35.51,34.99,35.41,29.901578616352207,23.20476268656718,NaN,29.86065648854962,23.20476268656718,NaN,35.05,35.51,34.99,35.41,NaN,NaN,35.51,34.99,35.41,NaN,35.51,34.99,35.41,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.67632119389411,NaN,NaN,NaN,34.75562036882142,33.9716310931669,31.266251885369535,31.658246523196798,30.87425724754227,NaN,30.324623503806645,29.54063422815212,NaN,30.29357325417947,29.509583978524944,NaN,73.55890346726468,78.09269257707214,81.48299069086787,NaN,75.82579802216841,NaN,NaN,NaN,NaN,0.4676000674625958,NaN,0.5603527139259877,0.652279204567223,NaN,NaN,0.6394282100687723,NaN,0.4501668672599095,NaN,NaN,NaN
1706031000,35.41,35.73,35.38,35.56,30.012061096136566,23.20476268656718,NaN,29.949023487962425,23.20476268656718,NaN,35.41,35.73,35.38,35.56,NaN,NaN,35.73,35.38,35.56,NaN,35.73,35.38,35.56,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.86910269408567,NaN,NaN,NaN,34.994356416595195,34.21435703369721,31.47985671191553,31.869856403364523,31.08985702046654,NaN,30.441844841880297,29.661845458982313,NaN,30.402060787585558,29.622061404687575,NaN,75.33930205124071,77.00368707376319,80.08946925675457,NaN,76.17149456250195,NaN,NaN,NaN,NaN,0.4248973707210458,NaN,0.4911366621760621,0.5695244496738924,NaN,NaN,0.6340097331554801,NaN,0.41226262245161394,NaN,NaN,NaN
1706036400,35.57,35.96,35.36,35.89,30.127810422282124,23.20476268656718,NaN,30.041375807398712,23.20476268656718,NaN,35.57,35.96,35.36,35.89,NaN,NaN,35.96,35.36,35.89,NaN,35.96,35.36,35.89,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.08453760539976,NaN,NaN,NaN,35.227469869973106,34.4486704809041,31.700625942684766,32.09002563721927,31.311226248150266,NaN,30.566158583657156,29.787359194588156,NaN,30.517210116816624,29.738410727747624,NaN,79.06141126602836,76.84585012131292,78.95463853887563,NaN,77.95363069367065,NaN,NaN,NaN,NaN,0.40979610774414965,NaN,0.4451678793199193,0.5009282202604592,NaN,NaN,0.6276033324887949,NaN,0.4085628503904175,NaN,NaN,NaN
